HEIGHT,WEIGHT ,AGE,PERFORMANCE
113.665,17.463292,6,6
159.385,50.689,45,10
148.59,39.4341545,47,4
136.525,36.28736,79,7
158.115,46.266384,45,6
144.78,42.2691045,54,3
156.845,47.62716,31,7
179.07,55.7067675,23,6
118.745,18.824068,9,10
170.18,48.5626935,41,4
146.05,42.807745,23,7
147.32,35.0683315,36,8
113.03,17.8885345,5,5
162.56,56.755699,30,9
133.985,27.442316,12,9
152.4,51.255896,34,6
160.02,47.230267,44,10
149.86,40.936678,43,7
142.875,32.715323,73.3,10
167.005,57.0675435,38,8
159.385,42.977842,43,9
154.94,39.9444455,33,5
148.59,32.4601775,16,10
111.125,17.123098,11,4
111.76,16.499409,6,7
162.56,45.9545395,35,8
152.4,41.106775,29,6
124.46,18.257078,12,7
111.76,15.081934,9,6
86.36,11.4815475,7.6,8
170.18,47.5988105,58,9
146.05,37.5063885,53,6
159.385,45.019006,51,3
151.13,42.2691045,48,7
160.655,54.8562825,29,7
169.545,53.523856,41,5
158.75,52.1914295,81.75,10
74.295,9.752228,1,7
149.86,42.410852,35,4
153.035,49.5832755,46,3
96.52,13.097469,5,9
161.925,41.730464,29,8
162.56,56.018612,42,7
149.225,42.1557065,27,9
116.84,19.391058,8,8
100.076,15.081934,6,10
163.195,53.0986135,22,9
161.925,50.235314,43,10
145.415,42.52425,53,5
163.195,49.101334,43,6
151.13,38.498621,41,5
150.495,49.8100715,50,8
141.605,29.313383,15,6
170.815,59.760746,33,7
91.44,11.7083435,3,8
157.48,47.9390045,62,3
152.4,39.292407,49,7
149.225,38.1300775,17,8
129.54,21.999212,12,9
147.32,36.8826995,22,6
145.415,42.127357,29,5
121.92,19.787951,8,8
113.665,16.782904,5,4
157.48,44.565414,33,10
154.305,47.853956,34,8
120.65,21.1770765,12,5
115.6,18.9,7,5
167.005,55.1964765,42,3
142.875,32.998818,40,5
152.4,40.879979,27,9
96.52,13.267566,3,9
160,51.2,25,10
159.385,49.044635,29,9
149.86,53.4388075,45,10
160.655,54.090846,26,10
160.655,55.3665735,45,10
149.225,42.240755,45,10
125.095,22.3677555,11,6
140.97,40.936678,85.6,7
154.94,49.6966735,26,9
141.605,44.338618,24,9
160.02,45.9545395,57,4
150.1648,41.95726,22,10
155.575,51.482692,24,4
103.505,12.757275,6,4
94.615,13.0124205,4,3
156.21,44.111822,21,3
153.035,32.205032,79,8
167.005,56.755699,50,9
149.86,52.673371,40,5
147.955,36.4858065,64,3
159.385,48.8461885,32,9
161.925,56.9541455,38.7,3
155.575,42.0990075,26,5
159.385,50.178615,63,7
146.685,46.549879,62,8
172.72,61.80191,22,7
166.37,48.987936,41,9
141.605,31.524644,19,9
142.875,32.205032,17,10
133.35,23.756881,14,3
127.635,24.4089195,9,6
119.38,21.5172705,7,7
151.765,35.2951275,74,5
156.845,45.642695,41,10
148.59,43.885026,33,4
157.48,45.5576465,53,4
149.86,39.008912,18,8
147.955,41.163474,37,7
102.235,13.1258185,6,7
153.035,45.245802,61,3
160.655,53.637254,44,5
149.225,52.3048275,35,9
114.3,18.3421265,7,5
100.965,13.7495075,4,8
138.43,39.0939605,23,7
91.44,12.530479,4,6
162.56,45.699394,55,9
149.225,40.3980375,53,8
158.75,51.482692,59,7
149.86,38.668718,57,10
158.115,39.235708,35,9
156.21,44.338618,29,8
148.59,39.519203,62,3
143.51,31.071052,18,4
154.305,46.776675,51,9
131.445,22.509503,14,5
157.48,40.6248335,19,8
157.48,50.178615,42,8
154.305,41.276872,25,9
107.95,17.57669,6,6
168.275,54.6,41,9
145.415,44.9906565,37,6
147.955,44.735511,16,4
100.965,14.401546,5,6
113.03,19.050864,9,6
149.225,35.8054185,82,8
154.94,45.2174525,28,7
162.56,48.1091015,50,8
156.845,45.6710445,43,7
123.19,20.808533,8,9
161.0106,48.420946,31,4
144.78,41.1918235,67,7
143.51,38.4135725,39,8
149.225,42.127357,18,3
110.49,17.6617385,11,3
149.86,38.2434755,48,6
165.735,48.3358975,30,7
144.145,38.9238635,64,7
157.48,40.029494,72,10
154.305,50.2069645,68,9
163.83,54.2892925,44,5
156.21,45.6,43,10
153.67,40.766581,16,7
134.62,27.1304715,13,5
144.145,39.4341545,34,6
114.3,20.4966885,10,9
162.56,43.204638,62,10
146.05,31.864838,44,10
120.65,20.8935815,11,5
154.94,45.4442485,31,5
144.78,38.045029,29,6
106.68,15.989118,8,5
146.685,36.0889135,62,3
152.4,40.879979,67,10
163.83,47.910655,57,5
165.735,47.7122085,32,3
156.21,46.379782,24,10
152.4,41.163474,77,10
140.335,36.5992045,62,7
158.115,43.09124,17,5
163.195,48.137451,67,8
151.13,36.7126025,70,6
171.1198,56.5572525,37,5
149.86,38.6970675,58,5
163.83,47.4854125,35,9
141.605,36.2023115,30,8
93.98,14.288148,5,6
149.225,41.276872,26,4
105.41,15.2236815,5,8
146.05,44.7638605,21,5
161.29,50.4337605,41,6
162.56,55.281525,46,8
145.415,37.931631,49,3
145.415,35.493574,15,5
170.815,58.456669,28,10
127,21.488921,12,7
159.385,44.4236665,83,10
159.4,44.4,54,6
153.67,44.565414,54,10
160.02,44.622113,68,7
150.495,40.483086,68,8
149.225,44.0834725,56,5
127,24.4089195,15,8
142.875,34.416293,57,9
142.113,32.772022,22,4
147.32,35.947166,40,6
162.56,49.5549,19,3
164.465,53.183662,41,7
160.02,37.081146,75.9,4
153.67,40.5114355,73.9,8
167.005,50.6038575,49,5
151.13,43.9700745,26,6
147.955,33.792604,17,6
125.3998,21.375523,13,6
111.125,16.669506,8,9
153.035,49.89,88,9
139.065,33.5941575,68,8
152.4,43.8566765,33,7
154.94,48.137451,26,6
147.955,42.751046,56,8
143.51,34.8415355,16,9
117.983,24.097075,13,6
144.145,33.906002,34,4
92.71,12.076887,5,3
147.955,41.276872,17,6
155.575,39.7176495,74,10
150.495,35.947166,69,10
155.575,50.915702,50,10
154.305,45.756093,44,4
130.6068,25.2594045,15,8
101.6,15.3370795,5,10
157.48,49.214732,18,5
168.91,58.8252125,41,9
150.495,43.4597835,27,9
111.76,17.8318355,8.9,7
160.02,51.9646335,38,4
167.64,50.688906,57,10
144.145,34.246196,64.5,10
145.415,39.3774555,42,4
160.02,59.5622995,24,9
147.32,40.312989,16,6
164.465,52.16308,71,5
153.035,39.972795,49.5,5
149.225,43.941725,33,3
160.02,54.601137,28,9
149.225,45.075705,47,5
85.09,11.453198,3,9
84.455,11.7650425,1,6
59.6138,5.896696,1,7
92.71,12.1052365,3,5
111.125,18.313777,6,3
90.805,11.3681495,5,7
153.67,41.333571,27,9
99.695,16.2442635,5,9
62.484,6.80388,1,6
81.915,11.8784405,2,4
96.52,14.968536,2,6
80.01,9.865626,1,5
150.495,41.900561,55,6
151.765,42.524,83.4,10
140.6398,28.859791,12,8
88.265,12.7856245,2,6
158.115,43.147939,63,3
149.225,40.82328,52,7
151.765,42.864444,49,6
154.94,46.209685,31,6
123.825,20.581737,9,8
104.14,15.87572,6,4
161.29,47.853956,35,9
148.59,42.52425,35,9
97.155,17.066399,7,9
93.345,13.1825175,5,4
160.655,48.5059945,24,5
157.48,45.869491,41,6
167.005,52.900167,32,8
157.48,47.570461,43,9
91.44,12.927372,6,9
60.452,5.6699,1,10
137.16,28.91649,15,5
152.4,43.544832,63,3
152.4,43.431434,21,8
81.28,11.509897,1,10
109.22,11.7083435,2,6
71.12,7.540967,1,5
89.2048,12.700576,3,6
67.31,7.200773,1,7
85.09,12.360382,1,5
69.85,7.7961125,1,5
161.925,53.2120115,55,4
152.4,44.678812,38,7
88.9,12.5588285,3,9
90.17,12.700576,3,4
71.755,7.37087,1,7
83.82,9.2135875,1,4
159.385,47.2019175,28,10
142.24,28.632995,16,8
142.24,31.6663915,36,3
168.91,56.4438545,38,8
123.19,20.014747,12,9
74.93,8.50485,1,9
74.295,8.3064035,1,5
90.805,11.623295,3,8
160.02,55.791816,48,9
67.945,7.9662095,1,10
135.89,27.21552,15,8
158.115,47.4854125,45,8
85.09,10.8011595,3,3
93.345,14.004653,3,10
152.4,45.1607535,38,5
155.575,45.529297,21,8
154.305,48.874538,50,10
156.845,46.5782285,41,9
120.015,20.128145,13,9
114.3,18.14368,8,9
83.82,10.9145575,3,3
156.21,43.885026,30,4
137.16,27.158821,12,4
114.3,19.050864,7,5
93.98,13.834556,4,9
168.275,56.0469615,21,5
147.955,40.086193,38,4
139.7,26.5634815,15,4
157.48,50.802304,19,3
76.2,9.2135875,1,8
66.04,7.5693165,1,5
160.7,46.3,31,7
114.3,19.4194075,8,7
146.05,37.9032815,16,7
161.29,49.3564795,21,9
69.85,7.314171,0,8
133.985,28.1510535,13,10
67.945,7.824462,0,4
150.495,44.111822,50,4
163.195,51.0291,39,8
148.59,40.766581,44,10
148.59,37.5630875,36,7
161.925,51.59609,36,4
153.67,44.8205595,18,8
68.58,8.0229085,0,4
151.13,43.4030845,58,3
163.83,46.719976,58,6
153.035,39.5475525,33,6
151.765,34.7848365,21.5,10
132.08,22.792998,11,3
156.21,39.292407,26,6
140.335,37.4496895,22,5
158.75,48.6760915,28,3
142.875,35.606972,42,5
84.455,9.3836845,2,6
151.9428,43.714929,21,6
161.29,48.19415,19,9
127.9906,29.8520235,13,10
160.9852,50.972401,48,5
144.78,43.998424,46,7
132.08,28.292801,11,5
117.983,20.354941,8,3
160.02,48.19415,25,10
154.94,39.179009,16,10
160.9852,46.6916265,51,10
165.989,56.415505,25,6
157.988,48.591043,28,3
154.94,48.2224995,26,9
97.9932,13.2959155,5,3
64.135,6.6621325,1,6
160.655,47.4854125,54,4
147.32,35.550273,66,9
146.7,36.6,20,7
147.32,48.9595865,25,6
172.9994,51.255896,38,7
158.115,46.5215295,51,3
147.32,36.967748,48,4
124.9934,25.117657,13,10
106.045,16.272613,6,3
165.989,48.647742,27,9
149.86,38.045029,22,5
76.2,8.50485,1,6
161.925,47.286966,60,9
140.0048,28.3495,15,9
66.675,8.1363065,0,5
62.865,7.200773,0,9
163.83,55.394923,43,3
147.955,32.488527,12,10
160.02,54.204244,27,3
154.94,48.477645,30,5
152.4,43.0628905,29,3
62.23,7.257472,0,4
146.05,34.189497,23,6
151.9936,49.951819,30,9
157.48,41.3052215,17,6
55.88,4.8477645,0,6
60.96,6.23689,0,3
151.765,44.338618,41,4
144.78,33.45241,42,9
118.11,16.896302,7,8
78.105,8.221355,3,10
160.655,47.286966,43,6
151.13,46.1246365,35,3
121.92,20.184844,10,8
92.71,12.757275,3,4
153.67,47.400364,75.5,9
147.32,40.8516295,64,3
139.7,50.348712,38,5
157.48,45.132404,24.2,3
91.44,11.623295,4,9
154.94,42.240755,26,7
143.51,41.6454155,19,5
83.185,9.1568885,2,8
158.115,45.2174525,43,6
147.32,51.255896,38,8
123.825,21.205426,10,6
88.9,11.5949455,3,7
160.02,49.271431,23,3
137.16,27.952607,16,6
165.1,51.199197,49,9
154.94,43.8566765,41,4
111.125,17.690088,6,8
153.67,35.5219235,23,5
145.415,34.246196,14,3
141.605,42.88542,43,6
144.78,32.545226,15,7
163.83,46.776675,21,6
161.29,41.8722115,24,3
154.9,38.2,20,7
161.3,43.3,20,7
170.18,53.637254,34,4
149.86,42.977842,29,9
123.825,21.54562,11,7
85.09,11.4248485,3,6
160.655,39.7743485,65,9
154.94,43.3463855,46,3
106.045,15.478827,8,10
126.365,21.9141635,15,10
166.37,52.673371,43,8
148.2852,38.441922,39,4
124.46,19.27766,12,4
89.535,11.113004,3,3
101.6,13.494362,4,4
151.765,42.807745,43,3
148.59,35.890467,70,4
153.67,44.22522,26,10
53.975,4.252425,0,3
146.685,38.0733785,48,10
56.515,5.159609,0,6
100.965,14.3164975,5,9
121.92,23.2182405,8,6
81.5848,10.659412,3,6
154.94,44.111822,44,10
156.21,44.0267735,33,3
132.715,24.9759095,15,9
125.095,22.5945515,12,9
101.6,14.344847,5,9
160.655,47.8823055,41,10
146.05,39.405805,37.4,10
132.715,24.777463,13,10
87.63,10.659412,6,5
156.21,41.050076,53,4
152.4,40.82328,49,8
162.56,47.0318205,27,10
114.935,17.519991,7,6
67.945,7.2291225,1,8
142.875,34.246196,31,3
76.835,8.0229085,1,8
145.415,31.127751,17,10
162.56,52.16308,31,8
156.21,54.0624965,21,8
71.12,8.051258,0,5
158.75,52.5316235,68,9
